method,site,type,lat,transect,diver,life.history,species,percent.of.cover,l,w,area,pale,bleached,total.pb,percent.pb,new,trans,old,total.mort,percent.mort,disease,percentdisease
Video,1,Back Reef,3,4,5,Generalist,OFAV,0.8,23.52941176,27.05882353,636.6782006,0,0,0,0,0.5,0,0.1,14,60,0,0
Video,1,Back Reef,3,4,5,Generalist,OFAV,0.7,4.375,4.375,19.140625,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Generalist,OFAV,0.85,15.45454545,15.45454545,238.8429751,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Generalist,OFAV,0.7,12.03125,4.375,52.63671875,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Generalist,OFAV,0.9,7.03125,8.4375,59.32617188,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MALC,0.6,9.230769231,4.615384615,42.60355029,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Generalist,OFAV,0.85,13.28125,10.625,141.1132813,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.85,16.52777778,18.88888889,312.1913581,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.85,14.16666667,18.88888889,267.5925927,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Weedy,PAST,0.8,13.33333333,13.33333333,177.7777777,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Generalist,OFAV,0.85,7.083333333,9.444444444,66.89814814,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Weedy,PPOR,0.7,8.75,5.25,45.9375,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Weedy,PAST,0.8,14.28571429,11.42857143,163.2653062,1,0,1,100,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MALC,0.8,26,28,728,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.6,13.92857143,19.28571429,268.6224491,1,0,1,100,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.7,16.25,15,243.75,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Weedy,PAST,0.9,12.27272727,8.181818182,100.4132231,1,0,1,100,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Weedy,PAST,0.85,4.473684211,5.592105263,25.01731302,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Weedy,UAGA,0.9,3.552631579,5.921052632,21.03531856,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.8,7.368421053,10.52631579,77.56232688,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.8,4.210526316,11.57894737,48.75346261,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.8,5.882352941,9.411764706,55.3633218,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Weedy,PAST,0.9,10.22727273,6.136363636,62.75826448,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.6,27.85714286,20.35714286,567.0918369,0.5,0,0.5,50,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,Weedy,PPOR,0.4,4.666666667,13.33333333,62.22222221,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,4,5,NA,MCOM,0.4,9.411764706,31.17647059,293.4256056,0.5,0,0.5,50,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Generalist,OFAV,0.8,3.636363636,5.454545455,19.83471074,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PAST,0.9,4.891304348,5.869565217,28.70982987,1,0,1,100,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PAST,0.85,12.30263158,15.65789474,192.6333103,1,0,1,100,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PAST,0.9,4.736842105,4.736842105,22.43767313,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PAST,0.9,8.289473684,8.289473684,68.71537396,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Generalist,OFAV,0.8,9.473684211,8.421052632,79.77839336,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Generalist,OFAV,0.9,9.204545455,11.25,103.5511364,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Generalist,OFAV,0.85,9.659090909,8.693181818,83.96823347,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Generalist,OFAV,0.85,7.727272727,6.761363636,52.24690082,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PPOR,0.7,9.545454545,6.363636364,60.74380165,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PAST,0.8,22.5,20,450,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PAST,0.8,6.666666667,8.888888889,59.25925926,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PAST,0.8,8.888888889,8.888888889,79.01234568,0,0,0,0,0,0,0,2,0,0,0
Video,1,Back Reef,3,5,5,Weedy,PPOR,0.5,13.88888889,13.88888889,192.9012346,0,0,0,0,0,0,0,2,0,0,0
